cbo_name,parent_organization,activity_type,activity_type_other,date_of_activity,activity_end_date,advertising_end_date,total_number_of_alert_sign_ups,total_people_spoken_to,City,address,description,total_number_of_houses,how_assisted,total_number_assisted,event_name,audience_details,education_grade,activity_total_material_dist,activity_collateral_dtls,activity_social_media_chan,total_number_nudgedalerted,total_number_of_calls,total_number_of_pledge_cards,total_number_of_impressions,impression_data_accuracy_confid,total_htc_of_impressions,htc_data_accuracy_confidence,immigrants_refugees,middle_eastern_and_north_africa,homeless_individuals_and_famili,farmworkers,veterans,latinos,asian_americans_pacific_islande,african_americans,native_americans_tribal_communi,children_ages_0_5,lesbian_gay_bisexual_transgende,limited_english_proficient_indi,people_with_disabilities,seniorsolder_adults,low_broadband_subscription_rate,htc_breakdown_data_confidence,lang_arabic,lang_armenian,lang_assyrian_neo_aramaic,lang_cantonese,lang_chaldean_neo_aramaic,lang_chinese,lang_farsi,lang_filipino,lang_hindi,lang_hmong,lang_iu_mien,lang_japanese,lang_khmer,lang_korean,lang_mandarin,lang_min_nan_chinese,lang_portuguese,lang_punjabi,lang_russian,lang_spanish,lang_tagalog,lang_telugu,lang_thai,lang_ukrainian,lang_vietnamese,lang_other_info,lang_breakdown_data_confidence,funding_state_allocated,funding_county_direct,funding_acbo_direct,funding_foundation,funding_private,funding_volunteer_hours,qac_total_had_info_no_census,qac_total_completed_pc,qac_total_completed_phone,qac_total_completed_uscb_phone
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/25/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90,very_high,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
OC Human Relations,Charitable Ventures,social_media,,8/24/2020,,,,,,orange,,,,,,,,,,Facebook,,,,179,high,80,medium,54,18,,,3,45,27,9,,18,18,3,3,6,2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,high,YES,NO,NO,NO,NO,,,,,
CAP OC ,Charitable Ventures,collateral,,9/15/2020,,,,,Irvine,"17815 sky park circle, bldg 10, ste h irvine 92614",,,,,,,,,,,,,,77,exact,100,high,,,,,,,,,,77,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC ,Charitable Ventures,collateral,,8/19/2020,,,,,Irvine,5001 newport coast dr irvine 92603,,,,,,,,,,,,,,134,exact,100,high,,,,,,,,,,134,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,8/7/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90,very_high,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,4/6/2020,,,,,Irvine,"8 thomas, irvine 92618",,,,,,,,,,,,,,600,exact,100,high,,,,,,,,,,600,,,,,,medium,,,,,,,,,,,,,,,,,,,,100,,,,,,,medium,,,,,,,,,,
OC HUman Relations,Charitable Ventures,social_media,,6/1/2020,,,,,,orange,,,,,,,,,,Facedbook,,,,441,high,80,high,132,44,,,8,132,66,22,,44,22,8,8,16,8,high,,,,,,,,,,,,,,,,,,,,342,,,,,99,,high,YES,NO,NO,NO,NO,,,,,
CAP OC,Charitable Ventures,collateral,,4/9/2020,,,,,Irvine,"8 thomas, irvine 92618",,,,,,,,,,,,,,800,exact,100,high,,,,,,,,,,800,,,,,,medium,,,,,,,,,,,,,,,,,,,,100,,,,,,,medium,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,4/14/2020,,,,,Irvine,"8 thomas, irvine 92618",,,,,,,,,,,,,,600,exact,100,high,,,,,,,,,,600,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institute for Healthcare Advancement ,Charitable Ventures,social_media,Twitter,4/22/2020,7/14/2020,7/31/2020,,,,orange,Social Media Post,,,,,,,,,,,,,3000,very_high,90,very_high,10,5,3,,10,79,5,,,35,,35,,3,,low,,,,,,,,,,,,,,,,,,,,3137,,,,,,,very_high,,,,,,,,,,
CAP OC,Charitable Ventures,flyers,,6/1/2020,6/5/2020,,,,,orange,,,,,,,,,,,,,,69,exact,100,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,6/23/2020,,,,,Irvine,"8 thomas, irvine 92618",,,,,,,,,,,,,,123,EXACT,100,high,,,,,,,,,,123,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,6/30/2020,,,,,Irvine,"8 thomas, irvine 92618",,,,,,,,,,,,,,119,exact,100,high,,,,,,,,,,119,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAVE,Charitable Ventures,social_media,Facebook and Instagram post,2/27/2020,3/2/2020,,,,,orange,Facebook post - NALEO video,,,,,,,,,"FB, IG",,,,817,exact,70,very_high,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,8/11/2020,,,,,Irvine,"8 thomas, irvine 92618",,,,,,,,,,,,,,80,exact,100,high,,,,,,,,,,80,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC ,Charitable Ventures,collateral,,8/25/2020,,,,,Irvine,"8 thomas, irvine 92618",,,,,,,,,,,,,,120,exact,100,high,,,,,,,,,,120,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Help Me Grow,Charitable Ventures,collateral,,4/13/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,33,exact,100,exact,,,,,,,,,,33,,,,,,very_high,,,,,,,,,,,,,,,,,,,,7,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,collateral,,4/20/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,32,exact,100,exact,,,,,,,,,,32,,,,,,very_high,,,,,,,,,,,,,,,,,,,,10,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,collateral,,5/4/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,36,exact,100,exact,,,,,,,,,,36,,,,,,very_high,,,,,,,,,,,,,,,,,,,,11,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,collateral,,5/11/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,38,exact,100,exact,,,,,,,,,,38,,,,,,very_high,,,,,,,,,,,,,,,,,,,,12,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,collateral,,5/25/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,30,exact,100,exact,,,,,,,,,,30,,,,,,very_high,,,,,,,,,,,,,,,,,,,,7,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,collateral,,6/1/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,31,exact,100,exact,,,,,,,,,,31,,,,,,very_high,,,,,,,,,,,,,,,,,,,,10,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,collateral,,6/8/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,38,exact,100,exact,,,,,,,,,,38,,,,,,very_high,,,,,,,,,,,,,,,,,,,,12,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,collateral,,6/15/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,34,exact,100,exact,,,,,,,,,,34,,,,,,very_high,,,,,,,,,,,,,,,,,,,,11,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,collateral,,6/22/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,164,exact,100,exact,,,,,,,,,,164,,,,,,very_high,,,,,,,,,,,,,,,,,,,,11,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,collateral,,6/29/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,46,exact,100,exact,,,,,,,,,,46,,,,,,very_high,,,,,,,,,,,,,,,,,,,,16,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,collateral,,7/6/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,54,exact,100,exact,,,,,,,,,,54,,,,,,very_high,,,,,,,,,,,,,,,,,,,,17,,,,,,,very_high,,,,,,,,,,
OC Human Relations,Charitable  Ventures,advertising,Organizational Newsletter,7/31/2020,,,,,,orange,,,,,,,,,,,,,,2200,high,80,high,660,220,,,44,550,338,112,,220,220,44,44,88,44,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,YES,NO,NO,NO,NO,,,,,
Latino Health Access,Central Valley Opportunity Center,flyers,,9/5/2020,,,,,,orange,"Infomovil, Santa Ana ZIP, 92703",,,,,,,,,,,,,667,,100,medium,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Help Me Grow,Charitable Ventures,collateral,,7/13/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,34,exact,100,exact,,,,,,,,,,34,,,,,,very_high,,,,,,,,,,,,,,,,,,,,11,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,collateral,,7/20/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,38,exact,100,exact,,,,,,,,,,38,,,,,,very_high,,,,,,,,,,,,,,,,,,,,12,,,,,,,very_high,,,,,,,,,,
Latino Health Access,Charitable Ventures,social_media,,4/16/2020,,,,,,orange,Facebook Post,,,,,,,,,,,,,247,exact,70,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/28/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90,very_high,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Help Me Grow,Charitable Ventures,collateral,,7/27/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,50,exact,100,exact,,,,,,,,,,50,,,,,,very_high,,,,,,,,,,,,,,,,,,,,16,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,collateral,,3/2/2020,,,,,Orange,"1120 w. la vetaave., ste 450, orange ca, 92868",,,,,,,,,,,,,,52,very_high,100,exact,,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,24,,,,,,,exact,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,6/30/2020,,,,,Orange,"147 w rose ave, orange 92867",,,,,,,,,,,,,,56,exact,100,high,,,,,,,,,,56,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,8/11/2020,,,,,Orange,"147 w rose ave, orange 92867",,,,,,,,,,,,,,187,exact,100,high,,,,,,,,,,187,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,4/27/2020,,,,,Orange,"18672 e center ave, orange 92869",,,,,,,,,,,,,,83,exact,100,high,40,,,,,83,,,,63,,,,,,high,,,,,,,,,,,,,,,,,,,,83,,,,,,,high,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,6/23/2020,,,,,Orange,"18672 e center ave, orange 92869",,,,,,,,,,,,,,80,EXACT,100,high,,,,,,,,,,80,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC ,Charitable Ventures,collateral,,8/26/2020,,,,,Orange,"18672 e center ave, orange 92869",,,,,,,,,,,,,,80,exact,100,high,,,,,,,,,,80,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Health Initiative of Orange County ,Charitable Ventures,collateral,"Mass Flyer Distribution to clinics, dental offices, FRC, Optomitrist office, small Business",1/2/2020,2/29/2020,,,,Orange,orange,"Mass Flyer Distribution to clinics, dental offices, FRC, Optomitrist office, small Business",,,,,,,1820,flyer distribution,,,,,1820,medium,100,medium,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
CAP OC ,Charitable Ventures,collateral,,5/1/2020,,,,,Orange,orange,,,,,,,,,,,,,,50,exact,100,high,,,,,,,,,,50,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC ,Charitable Ventures,collateral,,8/25/2020,,,,,Orange,orange,,,,,,,,,,,,,,70,exact,100,high,,,,,,,,,,70,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institute for Healthcare Advancement ,Charitable Ventures,social_media,Instagram,7/14/2020,7/27/2020,7/31/2020,,,,orange,Social Media Post,,,,,,,,,,,,,460,very_high,90,very_high,35,3,3,,,75,,,,40,,35,,10,,low,,,,,,,,,,,,,,,,,,,,460,,,,,,,very_high,,,,,,,,,,
AASCSC,Charitable Ventures,social_media,,5/8/2020,,,,,,orange,,,,,,,,,,,,,,210,very_high,100,medium,100,,,,,50,100,,,,,50,,,,medium,,,,,,100,,,,,,,,,100,,,,,,,,,,,,medium,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,6/29/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90,very_high,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Latino Health Access,Charitable Ventures,phone_banking,,5/13/2020,,,,,,orange,"Phone calls to LHA participants (LHA database from past 2 years. Demograpic is representative of HTC populations: immigrant, extremely low-income, seniors from thruout OC.",,,,,,,,,,,,,121,exact,100,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AASCSC,Charitable Ventures,social_media,,5/28/2020,,,,,,orange,,,,,,,,,,,,,,430,very_high,100,medium,300,,,,,200,100,,,,,200,,,,medium,,,,,,100,,,,,,,,,,,,,,300,,,,,,,medium,,,,,,,,,,
CAP OC ,Charitable Ventures,phone_banking,,7/29/2020,,,,,,orange,OC Census Week of Action: Phone Banking,,,,OC Phone Banking,,,,,,,1351,,617,exact,100,high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,10/9/2020,,,,,Orange,orange,,,,,,,,,,,,,,50,high,100,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCAPICA,Charitable Ventures,event,,6/20/2020,,,,,,"12912 brookhurst st, garden grove, ca 92840",,,,,,,,,,,,,,4500,high,80,medium,,,,,,2000,4000,1000,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC ,Charitable Ventures,collateral,,9/4/2020,,,,,Placentia,"840 s melrose st, placentia 92870",,,,,,,,,,,,,,80,exact,100,high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC ,Charitable Ventures,collateral,,9/4/2020,,,,,Placentia,"900 s melrose st, placentia 92870",,,,,,,,,,,,,,79,exact,100,high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,EDD assistance and reminding individuals to filled out the Census.,5/19/2020,5/22/2020,,,,,"309 n. rampart street, orange 92868",,,,,,,,,,,,,,38,very_high,80,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,6/1/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,5/8/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
CAP OC ,Charitable Ventures,collateral,,8/18/2020,,,,,Santa Ana,"1128 w santa ana blvd, santa ana 92703",,,,,,,,,,,,,,228,exact,100,high,,,,,,,,,,228,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,5/4/2020,,,,,Santa Ana,"115 e alton ave, santa ana 92707",,,,,,,,,,,,,,800,exact,100,exact,,,,,,,,,,800,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,8/12/2020,,,,,Santa Ana,"115 e alton ave, santa ana 92707",,,,,,,,,,,,,,120,exact,100,high,,,,,,,,,,120,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC ,Charitable Ventures,collateral,,9/12/2020,,,,,Santa Ana,1321 w. 5th st.  santa ana 92703,,,,,,,,,,,,,,250,exact,100,high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,10/1/2020,,,,,Santa Ana,"1601 w 2nd st, santa ana 92703",,,,,,,,,,,,,,100,high,100,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC ,Charitable Ventures,collateral,,9/18/2020,,,,,Santa Ana,"1620 n broadway, santa ana 92706",,,,,,,,,,,,,,34,exact,100,high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,Agape Fellowship,4/15/2020,,,,,,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,74,,100,high,,,,,,,74,,,,,,,,,very_high,,,,,,74,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
CAP OC ,Charitable Ventures,flyers,,5/1/2020,6/30/2020,,,,,12301 magnolia ave garden grove 92841,,,,,,,,,,,,,,100,exact,100,high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC ,Charitable Ventures,collateral,,9/18/2020,,,,,Santa Ana,"1815 n broadway, santa ana 92706",,,,,,,,,,,,,,56,exact,100,high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,4/8/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
CAIR-LA,Charitable Ventures,media_other,Video on Facebook,3/19/2020,3/19/2020,,,,,statewide,Video on the importance of Census spoken in Farsi (Persian),,,,,Muslim Americans; Iranians; Afghans; Other,Unknown,,,,,,,7500,very_high,70,medium,5000,7500,,,,,,,,,,,,3500,,very_low,,,,,,,7500,,,,,,,,,,,,,,,,,,,,very_low,,,,,,,,,,
Access California Services,Charitable Ventures,meeting,AccessCal participated in the Refugee Forum Meeting of Orange County and informed its members as a reminder to fill out the Census,9/17/2020,,,,,,"631 s. brookhurst street suite 107, anaheim, ca 92804",,,,,,,,,,,,,,50,very_high,75,very_high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC ,Charitable Ventures,collateral,,9/18/2020,,,,,Santa Ana,"220 w 17th st, santa ana 92706",,,,,,,,,,,,,,34,exact,100,high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC ,Charitable Ventures,collateral,,8/18/2020,,,,,Santa Ana,"2323 n broadway, santa ana 92706",,,,,,,,,,,,,,114,exact,100,high,,,,,,,,,,114,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,6/19/2020,,,,,Santa Ana,"450 w 4th st, santa ana 92701",,,,,,,,,,,,,,105,exact,100,high,,,,,,,,,,105,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,8/14/2020,,,,,Santa Ana,"450 w 4th st, santa ana 92701",,,,,,,,,,,,,,105,exact,100,high,,,,,,,,,,105,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,8/11/2020,,,,,Santa Ana,"631 s. main st., santa ana ca 92701",,,,,,,,,,,,,,209,exact,100,high,,,,,,,,,,209,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC ,Charitable Ventures,collateral,,9/15/2020,,,,,Santa Ana,"631 s. main st., santa ana ca 92701",,,,,,,,,,,,,,108,exact,100,high,,,,,,,,,,108,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,8/10/2020,,,,,Tustin,"661 w first st #g, tustin 92780",,,,,,,,,,,,,,300,exact,100,high,,,,,,,,,,300,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,5/27/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,5/24/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,4/9/2020,,,,,Tustin,661 w. 1st st.#g tustin 92780,,,,,,,,,,,,,,800,exact,100,high,,,,,,,,,,800,,,,,,medium,,,,,,,,,,,,,,,,,,,,200,,,,,,,medium,,,,,,,,,,
CAIR-LA,Charitable Ventures,webinar,Census Live Run Through,4/3/2020,4/3/2020,,,500,,statewide,"Webinar with CAIR-California Representatives going through the Census survey, providing guidance, and answering questions from participants, and addressing issues/concerns re: confidentiality, race/ethnicity, household.",,,,,,Varies,,,"Facebook, Zoom, Instagram",,,,500,very_high,95,high,200,350,,,,,,50,,,,250,,100,,very_low,200,,,,,,100,150,,,,,,,,,,,,,,,,,,50,very_low,,,,,,,,,,
CAP OC,Charitable Ventures,collateral,,4/10/2020,,,,,Tustin,661 w. 1st st.#g tustin 92780,,,,,,,,,,,,,,800,exact,100,high,,,,,,,,,,800,,,,,,medium,,,,,,,,,,,,,,,,,,,,100,,,,,,,medium,,,,,,,,,,
Help Me Grow,Charitable Ventures,convening,,5/29/2020,,,,,Orange,"1120 w. la veta ave., orange, ca 92868",,,,,,,,,,,,,,95,exact,100,exact,,,,,,,,,,95,,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,4/16/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Help Me Grow,Charitable Ventures,convening,,6/22/2020,,,,,Orange,"1120 w. la veta ave., orange, ca 92868",,,,,,,,,,,,,,84,exact,100,exact,,,,,,,,,,84,,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCCCO,Charitable Ventures,convening,Immaculate Heart of Mary Church Ministry Visits,2/21/2020,2/28/2020,,,,Santa Ana,"1100 s center st, santa ana, ca 92704",,,,,,,,,,,,,,300,very_high,100,very_high,,,,,,300,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,100,,,,,,,exact,,,,,,,,,,
OCAPICA,Charitable Ventures,curriculum,,7/13/2020,,,,,Garden Grove,"12912 brookhurst st, garden grove 92840",,,,,,,,,,,,,,35,high,100,high,,,,,,,25,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC Herald Center,Chinese Christian Herald Crusades Los Angeles,curriculum,YIA web program,3/23/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,39,very_high,75,very_high,,,,,,,29,,,,,,,,,very_high,,,,,,29,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
Institute for Healthcare Advancement ,Charitable Ventures,education_forum,,3/3/2020,,,,,Anaheim,"3320 e. la palma ave, anaheim, 92808",OC social worker education ,,,,,,,,,,,,,30,exact,90,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,education_forum,Information on Census and Q&A,2/18/2020,,,,,Costa Mesa,"555 anton blvd, costa meza, ca, 92626",,,,,,,,,,,,,,80,very_high,90,very_high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
KCS,Charitable Ventures,education_forum,,2/7/2020,,,,,Fullerton,"511 s. brookhurst rd. fullerton, ca 92833",,,,,Workshop on Protecting your Child Online,Parents with children with developmental diability,,60,,,,,,51,exact,100,exact,51,,,,,,51,,,,,51,,,,very_high,,,,,,,,,,,,,,51,,,,,,,,,,,,,exact,,,,,,,,,,
CAP OC ,Charitable Ventures,collateral,,5/11/2020,,,,,,"115 e alton ave, santa ana 92707",,,,,,,,,,,,,,1600,exact,100,high,,,,,,,,,,1600,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCS,Charitable Ventures,other,Article published on news bulletin,3/8/2020,,,,,,412 n crescent way anaheim 92801,,,,,,,,1400,,,,,,1400,very_high,90,very_high,1400,,,,,,1400,,,,,600,,500,,very_high,,,,,,,,,,,,,,1400,,,,,,,,,,,,,exact,,,,,,,,,,
OC Herald Center,Charitable Ventures,education_forum,Yourh in Action graduation ceremony,5/30/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,75,very_high,100,very_high,,,,,,,75,,,,,,,,,very_high,,,,,,75,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
CAP OC ,Charitable Ventures,flyers,,5/1/2020,6/30/2020,,,,,1411 warner ave ste b&d tustin 92780,,,,,,,,,,,,,,200,exact,100,high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,100,,,,,,,high,,,,,,,,,,
OC Herald Center,Chinese Christian Herald Crusades Los Angeles,education_forum,Youth Mental Health Conference,3/7/2020,3/7/2020,,100,100,Irvine,"2332 mcgaw ave, irvine, ca 92614",,,,,,,,,,,,,,100,exact,100,exact,,,,,,,100,,,,,,,,,exact,,,,,,46,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
